Feature,PI_Mean,PI_Std
THD,0.0018750000000000045,6.454972243678317e-05
Iref_error,0.0008083333333332998,0.000143372087784028
Imean,0.00045833333333331614,0.0001086533734200492
Istd,0.0002999999999999892,3.118047822310681e-05
Ib,0.00022499999999998633,9.71825315807424e-05
Ic,0.00022499999999998633,8.164965809276133e-05
Iref_rollmean,0.0002083333333333215,3.726779962499239e-05
Ic_Ia_ratio,0.00014999999999996128,7.2648315725703e-05
dVc_dt,0.00011666666666663162,3.118047822310681e-05
dImean_dt,0.0001166666666666094,4.08248290463954e-05
is_zero_Iref,0.00010833333333328809,2.041241452316371e-05
dVb_dt,9.999999999994457e-05,3.333333333332411e-05
Ib_rollmean,9.166666666664547e-05,6.123724356961199e-05
Power_factor,6.666666666663713e-05,2.0412414523218096e-05
dVa_dt,6.666666666663713e-05,2.0412414523218096e-05
Apparent_Power,5.8333333333293604e-05,2.04124145232181e-05
Power_VbIb,5.8333333333293604e-05,2.04124145232181e-05
Vmean,4.999999999997229e-05,3.1180478223118674e-05
Ic_rollstd,4.999999999995008e-05,1.6666666666687034e-05
Vb_rollstd,4.166666666665098e-05,3.726779962499239e-05
Idiff_ca,4.166666666662877e-05,4.564354645877908e-05
dIa_dt,4.1666666666606567e-05,0.0
Va_rollstd,3.333333333328525e-05,1.666666666664263e-05
Ia_rollstd,3.333333333328525e-05,1.666666666664263e-05
Vc_rollstd,2.4999999999986144e-05,3.333333333332411e-05
Power_VcIc,2.4999999999986144e-05,3.333333333332411e-05
is_voltage_spike_ca,2.4999999999986144e-05,3.333333333332411e-05
Ib_Ic_ratio,2.499999999996394e-05,2.041241452316371e-05
dIb_dt,1.6666666666642625e-05,2.0412414523163706e-05
dIc_dt,1.6666666666642625e-05,2.0412414523163706e-05
is_current_imbalanced,1.6666666666620423e-05,5.00000000000093e-05
is_current_surge,8.333333333321313e-06,1.666666666664263e-05
Power_VaIa,8.333333333321313e-06,1.666666666664263e-05
Idiff_bc,8.333333333321313e-06,1.6666666666642625e-05
Ia_rollmean,8.333333333299109e-06,0.00010341394704990167
Va,0.0,0.0
Vdiff_ab,0.0,0.0
dIref_dt,0.0,0.0
Iref,0.0,0.0
Vdiff_ca,0.0,0.0
is_zero_current,0.0,0.0
Vc_rollmean,0.0,0.0
Vb_rollmean,0.0,0.0
Vc,0.0,0.0
Ia_Ib_ratio,0.0,0.0
dTHD_dt,0.0,0.0
is_voltage_spike_ab,0.0,0.0
THD_rollmean,-2.2204460492503132e-17,2.6352313834733592e-05
is_voltage_spike_bc,-2.2204460492503132e-17,2.6352313834733592e-05
Vstd,-8.333333333365723e-06,4.8591265790395006e-05
Vb,-1.6666666666687037e-05,2.0412414523218096e-05
Vdiff_bc,-1.6666666666687037e-05,2.04124145232181e-05
Va_rollmean,-2.5000000000030552e-05,2.04124145232181e-05
Ic_rollmean,-4.166666666667318e-05,6.454972243678317e-05
Ia,-4.166666666669538e-05,5.892556509887248e-05
Ib_rollstd,-5.0000000000038905e-05,1.666666666664263e-05
THD_rollstd,-6.666666666668152e-05,2.041241452316371e-05
Iref_rollstd,-7.500000000002505e-05,3.118047822310681e-05
is_THD_below_nominal,-8.333333333334635e-05,2.6352313834733592e-05
Idiff_ab,-0.00014166666666666218,3.333333333332411e-05
